compound,Response
"Baricitinib (LY3009104, INCB028050) 0.5uM",5.876481777
"Doramapimod (BIRB 796, p38 MAP Kinase Inhibitor X) 0.5uM",100
JNK Inhibitor VIII 0.5uM,100
"TCS ERK 11e (ERK Inhibitor VIII, VX-11e) 0.5uM",11.2860624
Rho Kinase Inhibitor III Rockout 0.5uM,57.94145023
PP121 0.5uM,3.090896181
GZD824 0.5uM,2.700023573
Staurosporine 0.5uM,2.700023573
AZD3463 0.5uM,24.33748492
NVP-BVU972 0.5uM,47.5747785
Y-39983 dihydrochloride 0.5uM,24.45325434
"Cobimetinib (GDC-0973, RG7420) 0.5uM",5.994932197
WZ3146 0.5uM,44.55231236
Aminopurvalanol A 0.5uM,22.94550512
SB202190 (FHPI) 0.5uM,100
PD 166285 dihydrochloride 0.5uM,100
"BIIB-057 (PRT062607, P505-15) 0.5uM",12.56868838
Akt Inhibitor VIII Isozyme Selective Akti-1/2 0.5uM,41.47473913
"CP 547,632 0.5uM",100
Bosutinib 0.5uM,12.37520585
AT7867 0.5uM,79.98571417
Cdk1/2 Inhibitor III 0.5uM,2.700023573
PDK1/Akt/Flt Dual Pathway Inhibitor 0.5uM,2.728116766
SB 218078 0.5uM,42.98563103
PF-3644022 0.5uM,52.12434397
LY 333531 mesylate (Ruboxistaurin) 0.5uM,79.59612286
Cot inhibitor-2 0.5uM,17.92041913
PD 173955 Analogue 1 0.5uM,65.82778706
"Vargatef (Nintedanib, BIBF 1120) 0.5uM",100
NVP-TAE684 0.5uM,4.640866657
Ponatinib (AP24534) 0.5uM,2.700023573
Foretinib (GSK1363089) 0.5uM,100
Saracatinib (AZD0530) 0.5uM,32.52622417
Regorafenib (BAY 73-4506) 0.5uM,100
Pazopanib 0.5uM,65.06941001
AT9283 0.5uM,4.894676338
Control,100
