compound,Response
"Baricitinib (LY3009104, INCB028050) 0.5uM",100
"Doramapimod (BIRB 796, p38 MAP Kinase Inhibitor X) 0.5uM",21.82885428
JNK Inhibitor VIII 0.5uM,81.27807923
"TCS ERK 11e (ERK Inhibitor VIII, VX-11e) 0.5uM",23.99832886
Rho Kinase Inhibitor III Rockout 0.5uM,87.1028791
PP121 0.5uM,14.37707631
GZD824 0.5uM,2
Staurosporine 0.5uM,2
AZD3463 0.5uM,57.48117339
NVP-BVU972 0.5uM,95.35826055
Y-39983 dihydrochloride 0.5uM,75.75931485
"Cobimetinib (GDC-0973, RG7420) 0.5uM",9.706734633
WZ3146 0.5uM,75.05098803
Aminopurvalanol A 0.5uM,70.68826919
SB202190 (FHPI) 0.5uM,89.11540683
PD 166285 dihydrochloride 0.5uM,39.07333084
"BIIB-057 (PRT062607, P505-15) 0.5uM",64.91212747
Akt Inhibitor VIII Isozyme Selective Akti-1/2 0.5uM,87.90635172
"CP 547,632 0.5uM",82.79089302
Bosutinib 0.5uM,78.19317514
AT7867 0.5uM,100
Cdk1/2 Inhibitor III 0.5uM,2
PDK1/Akt/Flt Dual Pathway Inhibitor 0.5uM,17.41078767
SB 218078 0.5uM,2
PF-3644022 0.5uM,21.69370158
LY 333531 mesylate (Ruboxistaurin) 0.5uM,100
Cot inhibitor-2 0.5uM,6.394233083
PD 173955 Analogue 1 0.5uM,100
"Vargatef (Nintedanib, BIBF 1120) 0.5uM",100
NVP-TAE684 0.5uM,60.72531905
Ponatinib (AP24534) 0.5uM,2
Foretinib (GSK1363089) 0.5uM,75.83429651
Saracatinib (AZD0530) 0.5uM,86.05943142
Regorafenib (BAY 73-4506) 0.5uM,100
Pazopanib 0.5uM,96.59059199
AT9283 0.5uM,9.770983304
Control,100
