compound,Response
"Baricitinib (LY3009104, INCB028050) 0.5uM",97.56007683
"Doramapimod (BIRB 796, p38 MAP Kinase Inhibitor X) 0.5uM",10.73673709
JNK Inhibitor VIII 0.5uM,100
"TCS ERK 11e (ERK Inhibitor VIII, VX-11e) 0.5uM",31.53671319
Rho Kinase Inhibitor III Rockout 0.5uM,100
PP121 0.5uM,29.26277452
GZD824 0.5uM,0.421547507
Staurosporine 0.5uM,0.421547507
AZD3463 0.5uM,66.18922857
NVP-BVU972 0.5uM,100
Y-39983 dihydrochloride 0.5uM,58.28347032
"Cobimetinib (GDC-0973, RG7420) 0.5uM",10.89574848
WZ3146 0.5uM,93.07464568
Aminopurvalanol A 0.5uM,100
SB202190 (FHPI) 0.5uM,8.112012228
PD 166285 dihydrochloride 0.5uM,7.501250246
"BIIB-057 (PRT062607, P505-15) 0.5uM",100
Akt Inhibitor VIII Isozyme Selective Akti-1/2 0.5uM,100
"CP 547,632 0.5uM",58.65691043
Bosutinib 0.5uM,100
AT7867 0.5uM,100
Cdk1/2 Inhibitor III 0.5uM,1.646876556
PDK1/Akt/Flt Dual Pathway Inhibitor 0.5uM,79.98477126
SB 218078 0.5uM,1.767776756
PF-3644022 0.5uM,92.51444584
LY 333531 mesylate (Ruboxistaurin) 0.5uM,100
Cot inhibitor-2 0.5uM,4.884068286
PD 173955 Analogue 1 0.5uM,26.61104649
"Vargatef (Nintedanib, BIBF 1120) 0.5uM",41.64184022
NVP-TAE684 0.5uM,43.2557123
Ponatinib (AP24534) 0.5uM,0.421547507
Foretinib (GSK1363089) 0.5uM,36.08334573
Saracatinib (AZD0530) 0.5uM,100
Regorafenib (BAY 73-4506) 0.5uM,52.17381239
Pazopanib 0.5uM,100
AT9283 0.5uM,1.73
Control,100
