compound,Response
"Baricitinib (LY3009104, INCB028050) 0.5uM",72.79311738
"Doramapimod (BIRB 796, p38 MAP Kinase Inhibitor X) 0.5uM",35.27311373
JNK Inhibitor VIII 0.5uM,98.05283145
"TCS ERK 11e (ERK Inhibitor VIII, VX-11e) 0.5uM",42.98082144
Rho Kinase Inhibitor III Rockout 0.5uM,100
PP121 0.5uM,19.30620619
GZD824 0.5uM,0.320196122
Staurosporine 0.5uM,0.332
AZD3463 0.5uM,65.90948817
NVP-BVU972 0.5uM,100
Y-39983 dihydrochloride 0.5uM,59.76615059
"Cobimetinib (GDC-0973, RG7420) 0.5uM",22.82320365
WZ3146 0.5uM,93.09473204
Aminopurvalanol A 0.5uM,96.81797399
SB202190 (FHPI) 0.5uM,81.65454092
PD 166285 dihydrochloride 0.5uM,100
"BIIB-057 (PRT062607, P505-15) 0.5uM",89.23039437
Akt Inhibitor VIII Isozyme Selective Akti-1/2 0.5uM,95.47879405
"CP 547,632 0.5uM",100
Bosutinib 0.5uM,90.76771935
AT7867 0.5uM,100
Cdk1/2 Inhibitor III 0.5uM,1.450027867
PDK1/Akt/Flt Dual Pathway Inhibitor 0.5uM,6.607516709
SB 218078 0.5uM,1.304313759
PF-3644022 0.5uM,62.09318616
LY 333531 mesylate (Ruboxistaurin) 0.5uM,96.17369969
Cot inhibitor-2 0.5uM,19.52307579
PD 173955 Analogue 1 0.5uM,100
"Vargatef (Nintedanib, BIBF 1120) 0.5uM",96.51886524
NVP-TAE684 0.5uM,50.00529031
Ponatinib (AP24534) 0.5uM,0.32
Foretinib (GSK1363089) 0.5uM,91.71465744
Saracatinib (AZD0530) 0.5uM,100
Regorafenib (BAY 73-4506) 0.5uM,100
Pazopanib 0.5uM,100
AT9283 0.5uM,1.790639358
Control,100
